# data: pressure modelled by 4-element windkessel model from published data stergiopulos1999total doi = {10.1152/ajpheart.1999.276.1.H81}, Figure 4D type A beat.
t,p
0,68.151
0.0046581,68.394
0.010451,68.639
0.015761,69.005
0.018657,69.632
0.021553,70.049
0.024449,70.524
0.026117,71.481
0.026863,72.253
0.028633,72.727
0.028847,73.153
0.029277,73.813
0.030027,74.427
0.034104,75.206
0.035069,76.018
0.036035,76.578
0.037,77.182
0.037483,77.684
0.039655,78.568
0.041344,79.236
0.041827,79.71
0.04231,81.894
0.042471,80.242
0.043275,80.874
0.046461,82.461
0.046654,83.245
0.048102,83.705
0.048585,84.337
0.050033,84.953
0.051481,85.458
0.051868,85.969
0.053992,86.573
0.0547,87.24
0.057113,88.138
0.058722,88.73
0.060653,89.352
0.062929,90.13
0.065384,90.772
0.067508,91.393
0.071369,91.979
0.074169,92.571
0.078376,93.216
0.08141,93.859
0.084789,94.432
0.088007,95.101
0.090581,95.683
0.092512,96.265
0.094926,96.897
0.097339,97.494
0.099174,98.162
0.10184,98.866
0.10329,99.426
0.10458,100.36
0.10555,99.843
0.10844,100.92
0.11153,101.71
0.11317,102.29
0.11375,102.95
0.11578,103.68
0.11665,104.23
0.11892,104.88
0.12119,105.56
0.12312,106.31
0.12678,106.86
0.1292,107.42
0.13403,107.7
0.13982,107.53
0.14465,107.09
0.14822,106.56
0.15285,106.06
0.15816,105.77
0.16416,106.12
0.16782,106.74
0.17168,107.35
0.17492,108.02
0.17747,108.61
0.1794,109.15
0.18181,109.73
0.18616,110.32
0.19099,110.65
0.1963,110.26
0.2004,109.62
0.20402,108.97
0.20769,108.45
0.2102,107.94
0.21229,107.43
0.21602,106.9
0.22188,106.52
0.22767,106.55
0.23346,106.86
0.23926,107.25
0.24505,107.67
0.25084,107.99
0.25664,108.26
0.26243,108.45
0.26822,108.52
0.27401,108.42
0.27932,107.99
0.28367,107.46
0.28463,106.97
0.28825,106.42
0.29175,105.95
0.29215,105.32
0.29438,104.71
0.29724,103.88
0.29849,103.29
0.30024,102.77
0.30104,102.23
0.30298,101.69
0.30484,101.16
0.30539,100.31
0.30889,99.515
0.31063,98.992
0.31203,98.346
0.31275,97.775
0.31575,97.051
0.31849,96.375
0.31929,95.714
0.32566,95.556
0.33146,95.799
0.33483,96.414
0.33725,96.845
0.34111,97.173
0.34555,97.828
0.34932,98.412
0.35511,98.937
0.3609,99.19
0.36691,98.975
0.372,98.763
0.37587,98.586
0.38069,98.687
0.38731,98.745
0.39276,98.749
0.39855,99.228
0.40435,99.314
0.41014,99.185
0.41593,98.841
0.42172,98.36
0.42752,97.872
0.43331,97.399
0.4391,97.004
0.44489,96.739
0.45069,96.38
0.456,96.027
0.46131,95.519
0.46662,94.95
0.47096,94.539
0.4753,94.046
0.47965,93.495
0.48544,92.978
0.49075,92.478
0.49558,92.005
0.50041,91.479
0.50482,90.874
0.50861,90.324
0.51344,89.769
0.51706,89.172
0.52275,88.616
0.52889,88.226
0.53468,87.889
0.54047,87.509
0.54578,87.182
0.55061,86.691
0.55447,86.203
0.55833,85.125
0.56495,84.611
0.57171,84.1
0.57847,83.578
0.58523,83.141
0.59067,82.736
0.59647,82.385
0.60357,82.01
0.61033,81.431
0.61577,81.352
0.62157,81.158
0.62736,81.065
0.63315,80.822
0.63894,80.52
0.64474,80.126
0.65053,79.595
0.65536,79.135
0.66115,78.453
0.66308,77.796
0.66687,77.582
0.67129,77.467
0.67418,77.111
0.68191,76.681
0.68853,76.284
0.69349,76.196
0.69735,75.899
0.70508,75.476
0.71377,75.077
0.72039,74.538
0.72825,74.082
0.73597,73.609
0.74259,73.204
0.75045,72.888
0.75538,72.769
0.76001,72.515
0.76542,72.428
0.77073,72.276
0.77362,71.963
0.77859,71.883
0.78024,71.526
0.78545,70.974
0.78883,70.591
0.79245,69.848
0.79563,69.307
0.79928,68.8
0.805,68.236
0.81079,67.935
0.81658,67.978
0.82238,68.079
0.82672,68.209
